Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABO	gene	ABO	Expert Review Green;Literature	COVID-19 research		Viral research	Unknown	Virus susceptibility				15784866		False	3	67;33;0	1.143	False		ENSG00000175164	ENSG00000175164	HGNC:79													
ACD	gene	ACD	Expert Review Green;GRID V2.0;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Dyskeratosis congenita, autosomal dominant 6, OMIM:616553;Dyskeratosis congenita, autosomal recessive 7, OMIM:616553				25205116;25233904		False	3	100;0;0	1.143	False		ENSG00000102977	ENSG00000102977	HGNC:25070													
ACE2	gene	ACE2	Expert Review Green;Other	COVID-19 research		Viral research	Unknown					14647384;15897467;16007097;32142651;32015507;32133153		False	3	25;75;0	1.143	False		ENSG00000130234	ENSG00000130234	HGNC:13557													
ACP5	gene	ACP5	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation Type 1 interferonopathies;Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections;Spondyloenchondrodysplasia with immune dysregulation, 607944;Type 1 interferonopathies;Autoinflammatory Disorders				21217752;26789720;21217755;26951490;18924170;26346816		False	3	100;0;0	1.143	False		ENSG00000102575	ENSG00000102575	HGNC:124													
ACTB	gene	ACTB	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital defects of phagocyte number or function;neutrophil dysfunction;Mental retardation, short stature;Actin beta deficiency (ACTB);Phagocytic disorder;Poor neutrophil chemotaxis, oxidative burst and actin remodeling. Thrombocytopenia;Baraitser-Winter syndrome 1, 243310				32086639;32048120;10411937		False	3	0;33;67	1.143	False		ENSG00000075624	ENSG00000075624	HGNC:132													
ADA	gene	ADA	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency due to ADA deficiency, 102700;Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects;Atypical Severe Combined Immunodeficiency (Atypical SCID);Immunodeficiencies affecting cellular and humoral immunity;Adenosine deaminase (ADA) deficiency;T-B+ SCID;Omenn syndrome;Severe combined immunodeficiency (SCID);T-B- SCID;Severe combined immunodeficiency due to ADA deficiency (some mosiacism noted)						False	3	100;0;0	1.143	False		ENSG00000196839	ENSG00000196839	HGNC:186													
ADA2	gene	ADA2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome, OMIM:615688;Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever;Autoinflammatory Disorders				24552284;26922074;24552285;29564582		False	3	100;0;0	1.143	False		ENSG00000093072	ENSG00000093072	HGNC:1839													
ADAM17	gene	ADAM17	Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	IBD-1;ADAM17 deficiency;Inflammatory skin and bowel disease, neonatal, 1;Inflammatory skin and bowel disease, neonatal 1, 614328;Autoinflammatory Disorders;inflammatory skin;Early onset diarrhea and skin lesions				24227843;22010916;20603312;25058236;32086639;11149563;28930861;32048120;25171914		False	3	0;100;0	1.143	False		ENSG00000151694	ENSG00000151694	HGNC:195													
ADAR	gene	ADAR	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6, OMIM:615010;Fever Syndromes and Related Diseases;Type 1 interferonopathies;Autoinflammatory Disorders				25604658;24183309;23001123;24262145;27643693;25769924		False	3	100;0;0	1.143	False		ENSG00000160710	ENSG00000160710	HGNC:225													
AICDA	gene	AICDA	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Immunodeficiency with hyper-IgM, type 2, OMIM:605258;Hyper IgM syndrome with lymphoid hyperplasia;Primary Immune Deficiencies;Bacterial infections, enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies;Immunodeficiency with hyper-IgM, type 2;CSR defects and Hyper IgM (HIGM) syndromes				27701145;21700883;12958596		False	3	100;0;0	1.143	False		ENSG00000111732	ENSG00000111732	HGNC:13203													
AIM2	gene	AIM2	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown							False	3	100;0;0	1.143	False		ENSG00000163568	ENSG00000163568	HGNC:357													
AIRE	gene	AIRE	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Autoimmune polyendocrinopathy syndrome, type I, with or without reversible metaphyseal dysplasia, 240300;Multiple endocrine deficiency Addison disease candidiasis syndrome;Autoimmune hypoparathyroidism chronic candidiasis Addison disease syndrome;Diseases of Immune Dysregulation;Chronic mucocutaneous candidiasis (CMC);Autoimmunity: hypoparathyroidism hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities, chronic mucocutaneous candidiasis, dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia;Hypoparathyroidism Addison disease mucocutaneous candidiasis syndrome;Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED)				9888391;19807739;11600535;11836330;10677297;29437776;29108822;19758376;9398839;9837820;28911151		False	3	100;0;0	1.143	False		ENSG00000160224	ENSG00000160224	HGNC:360													
AK2	gene	AK2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Reticular dysgenesis, AK2 deficiency;Granulocytopenia and deafness;Reticular dysgenesis, 267500;Reticular dysgenesis with sensorineural deafness;Reticular Dysgenesis AK2 (SCID);Immunodeficiencies affecting cellular and humoral immunity				19043417;19043416		False	3	100;0;0	1.143	False		ENSG00000004455	ENSG00000004455	HGNC:362													
ALPI	gene	ALPI	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autoinflammatory Disorders;ALPI deficiency;Inflammatory bowel disease				32086639;32048120;29567797		False	3	50;50;0	1.143	False		ENSG00000163295	ENSG00000163295	HGNC:437													
AP1S3	gene	AP1S3	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Pustular psoriasis, 616106;Pustular psoriasis;Autoinflammatory Disorders				32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000152056	ENSG00000152056	HGNC:18971													
AP3B1	gene	AP3B1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Partial albinism, recurrent infections, pulmonary fibrosis, increased bleeding, neutropenia, HLH;Immunodeficient HPS;Hermansky-Pudlak syndrome 2;Diseases of Immune Dysregulation;Hermansky-Pudlak syndrome with neutropenia;Hermansky-Pudlak syndrome, 608233;HPS2				28585318;16537806;11809908;16507770;19679886;14566336;8042664;23403622;10024875		False	3	100;0;0	1.143	False		ENSG00000132842	ENSG00000132842	HGNC:566													
